t (s)	X1 (m)	Y1 (m)
0	0.020436393	0.2378053
0.041667	0.022294247	0.239663154
0.083333	-0.011147123	0.245236716
0.125	-0.005573562	0.24709457
0.166667	-0.044588494	0.24709457
0.208333	-0.074314156	0.2378053
0.25	-0.098466257	0.224800323
0.291667	-0.124476212	0.206221784
0.333333	-0.146770459	0.180211829
0.375	-0.154201874	0.146770459
0.416667	-0.163491144	0.115186942
0.458333	-0.157917582	0.08546128
0.5	-0.148628313	0.052019909
0.541667	-0.130049773	0.026009955
0.583333	-0.10961338	0.003715708
0.625	-0.078029864	-0.00928927
0.666667	-0.050162055	-0.018578539
0.708333	-0.024152101	-0.024152101
0.75	0.018578539	-0.016720685
0.791667	0.037157078	-0.003715708
0.833333	0.059451325	0.011147123
0.875	0.083603426	0.03344137
0.916667	0.096608403	0.053877763
0.958333	0.104039819	0.087319134
1	0.107755527	0.113329088
1.041667	0.107755527	0.143054751
1.083333	0.094750549	0.170922559
1.125	0.079887718	0.193216806
1.166667	0.057593471	0.219226761
